,Brand_name,Brand_detail_name,prices,RAM,Storage,Has_ssd,Core,Gen,Discount_Percentage,Operating_System,Warranty_Period,Space_Score
769,HP,HP 15s-fq3071TU Laptop ,27990,8,512,1,,,3.0,11,1,50
770,Asus,Asus Vivobook 15 M1502QA-EJ742WS Laptop ,49990,16,512,1,,,4.0,11,1,58
771,HP,HP Victus 15-fb0136AX Gaming Laptop ,64990,16,512,1,,,1.0,11,1,0
772,Acer,Acer One 14 Business Z2-493 Laptop ,26990,8,512,1,,,1.0,11,1,53
773,HP,HP Victus 15-fb0135AX Gaming Laptop ,54990,8,512,1,,,10.0,11,1,0
774,Asus,Asus Zenbook 14X OLED 2023 UM5401QA-KM751WS Laptop ,70990,16,1024,1,,,3.0,11,1,0
775,Asus,Asus VivoBook 14 X415EA-EK344WS Notebook ,33990,16,512,1,i3,11,7.0,11,1,0
776,Acer,Acer Swift Edge 16 2023 Laptop ,107399,16,1024,1,,,,11,1,58
777,Dell,Dell G15-5530 Gaming 2023 Laptop ,147990,16,512,1,i7,13,4.0,11,1,0
778,Acer,Acer Aspire 5 A515-58P NX.KHJSI.001 Gaming Laptop ,37990,8,512,1,i3,13,5.0,11,1,51
779,HP,HP Pavilion 15-eg3027TU Laptop ,74600,16,512,1,i5,13,2.0,11,1,0
780,Dell,Dell G15-5530 Gaming Laptop ,121990,16,512,1,i7,13,2.0,11,1,0
781,Dell,Dell G15-5530 GN553064GRM002ORB1 Gaming Laptop ,75490,8,512,1,i5,13,3.0,11,1,0
782,Dell,Dell ‎G16-7630 Gaming Laptop ,187990,16,1024,1,i9,13,1.0,11,1,0
783,Dell,Dell G15-5530 2023 Gaming Laptop ,130051,16,512,1,i7,13,2.0,11,1,0
784,Acer,Acer Aspire 5 A515-58M NX.KHFSI.001 Gaming Laptop ,55400,8,512,1,i5,13,,11,1,50
785,Acer,Acer Aspire 5 A515-58M NX.KHGSI.002 Gaming Laptop ,52490,16,512,1,i5,13,9.0,11,1,52
786,Acer,Acer Aspire Vero AV14-52P NX.KJTSI.002 Laptop ,49990,16,512,1,i3,13,1.0,11,1,50
787,Xiaomi,Xiaomi Redmi Book 14 2023 Laptop ,43990,16,512,1,i5,12,,11,1,59
788,Asus,Asus Vivobook 15X 2023 K3504VAB-NJ321WS Laptop ,38990,8,512,1,i3,13,8.0,11,1,54
789,HP,HP Pavilion x360 14-ek1020TU Laptop ,89990,16,512,1,i7,13,2.0,11,1,0
790,Asus,Asus TUF A15 FA577RM-HQ032WS Laptop ,104739,16,1024,1,,,,11,1,0
791,Asus,Asus TUF Gaming A15 2023 FA577XU-LP041WS Gaming Laptop ,119990,16,1024,1,,,7.0,11,1,0
792,Asus,Asus ROG Zephyrus G14 2023 GA402XV-N2034WS Gaming Laptop ,199990,32,1024,1,,,6.0,11,1,0
793,Huawei,Huawei MateBook E 2023 Laptop ,88999,16,512,1,i5,12,,11,1,57
794,Lenovo,Lenovo IdeaPad Slim 5 82FG01B3IN Laptop ,52900,16,512,1,i5,11,1.0,11,1,0
795,Acer,Acer Aspire 5 14 A514-56GM 2023 Gaming Laptop ,56990,16,512,1,i5,13,2.0,11,1,0
796,MSI,MSI Bravo 15 B5ED-034IN Gaming Laptop ,59990,8,512,1,,,,11,1,0
797,Asus,Asus TUF Gaming F15 2023 FX507VU-LP091WS Gaming Laptop ,133890,16,1024,1,i7,13,1.0,11,1,0
798,Asus,Asus ROG Zephyrus G14 2023 GA402XZ-N2020WS Gaming Laptop ,259990,32,1024,1,,,1.0,11,1,0
799,Asus,Asus ROG Strix G16 2023 G614JV-N4141WS Gaming Laptop ,179990,16,1024,1,i9,13,,11,1,0
800,Asus,Asus TUF Gaming A17 FA777XU-HX026WS Gaming Laptop ,145924,16,1024,1,,,7.0,11,1,0
801,Asus,Asus ROG Strix G16 2023 G614JU-N3221WS Gaming Laptop ,144406,16,1024,1,i5,13,1.0,11,1,0
802,ASUS,ASUS TUF Gaming A16 Advantage Edition FA617XS-N3025WS Gaming Laptop ,119990,16,1024,1,,,8.0,11,1,0
803,Asus,Asus ROG Zephyrus G14 2023 GA402NU-N2023WS Gaming Laptop ,149990,16,1024,1,,,11.0,11,1,0
804,Asus,Asus TUF Gaming A15 FA577NU-LP082W Gaming Laptop ,94990,16,512,1,,,3.0,11,1,0
805,Asus,Asus TUF Gaming F15 2023 FX507VV-LP071WS Gaming Laptop ,154990,16,1024,1,i9,13,4.0,11,1,0
806,Lenovo,Lenovo IdeaPad 3 15IAU7 82RK00LWIN Laptop ,48990,8,512,1,i5,12,2.0,11,1,58
807,Asus,Asus ROG Flow Z13 2023 GZ301VV-MU014WS Gaming Laptop ,208999,16,1024,1,i9,13,1.0,11,1,0
808,Asus,Asus Vivobook 15X OLED M3504YA-LK541WS Laptop ,60379,16,512,1,,,2.0,11,1,0
809,Asus,Asus ROG Strix G16 2023 G614JI-N4151WS Gaming Laptop ,199990,16,1024,1,i9,13,1.0,11,1,0
810,Dell,Dell Inspiron 5520 Gaming Laptop ,67999,8,512,1,i5,12,1.0,11,1,0
811,Asus,Asus Vivobook 16X 2023 K3605ZC-MB541WS Laptop ,77990,16,512,1,i5,12,2.0,11,1,0
812,Acer,Acer Predator Helios 16 PH16-71 Gaming Laptop ,178499,16,512,1,i7,13,21.0,11,1,0
813,Asus,Asus Vivobook Pro 15 OLED K6502VU-MA541WS Laptop ,107990,16,512,1,i5,13,8.0,11,1,0
814,Dell,Dell Alienware m16 Gaming Laptop ,220990,16,1024,1,i7,13,6.0,11,1,0
815,Dell,Dell Alienware x14 R2 2023 Gaming Laptop ,225490,32,1024,1,i7,13,,11,1,0
816,Asus,Asus Vivobook 16X 2023 K3605ZF-MB521WS Laptop ,58990,8,512,1,i5,12,8.0,11,1,0
817,Huawei,Huawei MateBook X Pro 2023 Laptop ,184990,16,1024,1,i7,13,,11,1,0
818,HP,HP 15-hr0001TU Laptop ,62779,16,512,1,i5,13,3.0,11,1,59
819,HP,HP 15-hr0000TU Laptop ,67400,8,512,1,i5,13,5.0,11,1,57
820,HP,HP 15s-fr5009TU Laptop ,36990,8,512,1,i3,12,9.0,11,1,59
821,HP,HP 15s-fr4001TU Laptop ,51999,16,512,1,i5,11,1.0,11,1,0
